label,text
spam,SALE SỐC: Giảm đến 74% mỹ phẩm. Truy cập www.shop.com ngay!
spam,BẠN ĐÃ TRÚNG! IPHONE 14 trị giá 500000đ từ FPT. Xác nhận tại: www.claim-prize.online
spam,TIN VUI! SIM của bạn trúng thưởng XE SH MODE. Gọi 0991054187 trong vòng 25h để nhận!
ham,Mai 14h12 mình học nhóm môn Lý nhé?
ham,Họp dự án B chuyển sang 8h26 nhé. Nhớ mang bản vẽ.
ham,Họp chiến dịch mới chuyển sang 13h nhé. Nhớ mang tài liệu.
spam,CHÚC MỪNG! Bạn đã trúng XE MÁY HONDA trị giá 10000000đ. Liên hệ 0909521365 để nhận quà!
spam,TIN VUI! SIM của bạn trúng thưởng XE MÁY HONDA. Gọi 0909199832 trong vòng 48h để nhận!
spam,FLASH SALE 4H: iPad giảm 37%. Số lượng có hạn!
spam,BÍ QUYẾT KIẾM 10000000đ/NGÀY từ Crypto. Tham gia ngay: app.invest.asia
ham,Tối nay 13h22 mình học bài nhé. quán quen như mọi khi.
spam,HOT DEAL: Giảm 35% tại Shopee. Mã: SALE702. Hết hạn trong 3h!
spam,HOT DEAL: Giảm 53% tại Tiki. Mã: SALE967. Hết hạn trong 19h!
ham,Họp dự án A chuyển sang 15h nhé. Nhớ mang số liệu.
ham,"Bạn ơi, 10h26 mình gặp nhau trung tâm được không?"
spam,TIN VUI! SIM của bạn trúng thưởng TV SONY 4K. Gọi 0908937562 trong vòng 12h để nhận!
ham,Họp kế hoạch quý chuyển sang 8h nhé. Nhớ mang bản vẽ.
ham,Tối nay 6h mình đi ăn nhé. quán quen như mọi khi.
ham,Mai 1h46 mình học nhóm môn Toán nhé?
spam,KHÓA HỌC ĐẦU TƯ FOREX chỉ 100kđ. Đăng ký: vn.invest.asia
ham,Họp dự án B chuyển sang 15h nhé. Nhớ mang tài liệu.
spam,ƯU ĐÃI LỚN: Mua điện thoại chỉ với 1trđ tại www.shop.net. Mã: SALE229
spam,ƯU ĐÃI LỚN: Mua iPhone chỉ với 3trđ tại app.shop.com. Mã: SALE948
ham,Họp kế hoạch quý chuyển sang 14h nhé. Nhớ mang laptop.
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 1000000đ từ FPT. Xác nhận tại: www.claim-prize.online
spam,"CẦN TIỀN GẤP? Vay đến 10000000đ, không thế chấp. Gọi: 0931514555"
ham,Tối nay 5h mình đi ăn nhé. công viên như mọi khi.
spam,TIN VUI! SIM của bạn trúng thưởng XE MÁY HONDA. Gọi 0906741240 trong vòng 33h để nhận!
spam,ƯU ĐÃI LỚN: Mua iPhone chỉ với 9trđ tại my.shop.asia. Mã: SALE592
ham,Tối nay 11h mình đi dạo nhé. quán quen như mọi khi.
spam,HOT DEAL: Giảm 50% tại Lazada. Mã: SALE263. Hết hạn trong 28h!
ham,Họp dự án B chuyển sang 14h nhé. Nhớ mang số liệu.
ham,Tối nay 4h mình đi café nhé. công viên như mọi khi.
ham,Họp dự án B chuyển sang 15h nhé. Nhớ mang bản vẽ.
ham,Tối nay 10h mình đi café nhé. công viên như mọi khi.
spam,HOT DEAL: Giảm 38% tại Sendo. Mã: SALE148. Hết hạn trong 20h!
ham,"Bạn ơi, 21h10 mình gặp nhau công viên được không?"
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 5000000đ từ Tiki. Xác nhận tại: www.claim-prize.net
spam,HOT DEAL: Giảm 44% tại Lazada. Mã: SALE111. Hết hạn trong 19h!
ham,Tối nay 9h mình đi dạo nhé. trung tâm như mọi khi.
ham,"Bạn ơi, 19h19 mình gặp nhau thư viện được không?"
spam,VAY ONLINE: Lãi suất chỉ 1%/tháng. Đăng ký: my.loan.xyz
spam,KHÁM PHÁ: Đầu tư Dogecoin sinh lời 172%. CT: vn.invest.net
ham,Tối nay 18h23 mình đi dạo nhé. coffee shop như mọi khi.
spam,FLASH SALE 25H: iPhone giảm 70%. Số lượng có hạn!
ham,Tối nay 13h12 mình đi dạo nhé. văn phòng như mọi khi.
spam,VAY ONLINE: Lãi suất chỉ 2%/tháng. Đăng ký: app.loan.xyz
ham,Tối nay 2h mình đi dạo nhé. trung tâm như mọi khi.
spam,CHÚC MỪNG! Bạn đã trúng XE SH MODE trị giá 2000000đ. Liên hệ 0951605588 để nhận quà!
spam,CHÚC MỪNG BẠN! Số điện thoại của bạn trúng TV SONY 8K. Nhận quà tại: app.claim-prize.net
spam,"CẦN TIỀN GẤP? Vay đến 10000000đ, không thế chấp. Gọi: 0934099721"
spam,SALE SỐC: Giảm đến 67% phụ kiện. Truy cập www.shop.net ngay!
ham,Họp chiến dịch mới chuyển sang 11h nhé. Nhớ mang laptop.
ham,Tối nay 4h mình đi café nhé. công viên như mọi khi.
ham,Họp dự án A chuyển sang 3h49 nhé. Nhớ mang presentation.
ham,Mai 10h38 mình học nhóm môn Marketing nhé?
spam,BẠN ĐÃ TRÚNG! IPHONE 15 PRO MAX trị giá 2000000đ từ Lazada. Xác nhận tại: vn.claim-prize.com
spam,KHÁM PHÁ: Đầu tư BNB sinh lời 195%. CT: vn.invest.xyz
spam,TIN VUI! SIM của bạn trúng thưởng IPAD PRO M2. Gọi 0988182958 trong vòng 47h để nhận!
ham,Họp dự án A chuyển sang 21h18 nhé. Nhớ mang presentation.
spam,TIN VUI! SIM của bạn trúng thưởng XE MÁY HONDA. Gọi 0908922049 trong vòng 39h để nhận!
ham,Tối nay 1h mình đi dạo nhé. công viên như mọi khi.
spam,FLASH SALE 43H: iPad giảm 70%. Số lượng có hạn!
ham,Tối nay 3h mình xem phim nhé. trung tâm như mọi khi.
spam,BẠN ĐÃ TRÚNG! XE MÁY HONDA trị giá 20000000đ từ Shopee. Xác nhận tại: www.claim-prize.net
spam,VAY ONLINE: Lãi suất chỉ 5%/tháng. Đăng ký: www.loan.online
ham,"Bạn ơi, 9h19 mình gặp nhau công viên được không?"
