label,text
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
ham,Yup having my lunch buffet now.. U eat already?
ham,"A ơi, 15h20 mình học bài tại văn phòng không?"
spam,HOT DEAL: Giảm 70% tại Shopee. Mã: SALE678. Hết hạn trong 22h!
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
spam,BÍ QUYẾT ĐẦU TƯ Bitcoin sinh lời 30%/tháng. Tham gia: bit.ly/qym0uk
spam,CƠ HỘI ĐẦU TƯ: Lợi nhuận 177%/tháng. Tìm hiểu: my.invest.vn
ham,Then u going ikea str aft dat?
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
spam,📈 KIẾM 1000K/NGÀY từ Forex! Khóa học MIỄN PHÍ: bit.ly/a76d4d
spam,VAY ONLINE: Lãi suất 0.5%/tháng. Không thế chấp. Duyệt trong 12h. Link: bit.ly/u05p7v
ham,Should I have picked up a receipt or something earlier
ham,Hi its in durban are you still on this number
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
spam,ƯU ĐÃI LỚN: Mua máy giặt chỉ với 1000000trđ tại app.loan.online. Mã: SALE916
ham,They are just making it easy to pay back. I have &lt;#&gt; yrs to say but i can pay back earlier. You get?
spam,KHẨN CẤP! VNPay của bạn sắp bị khóa. Cập nhật thông tin tại: bit.ly/lsjfa0
spam,TÀI KHOẢN CỦA BẠN: Cần cập nhật Tài khoản ngân hàng trước 48h. Chi tiết: bit.ly/0g1amr
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,ÌÏ only send me the contents page...
ham,Gd luck 4 ur exams :-)
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 20000000đ từ FPT. Xác nhận tại: app.loan.online
spam,CẢNH BÁO: Internet Banking của bạn có dấu hiệu bất thường. Kiểm tra: app.shop.online
spam,TIN VUI! SIM của bạn trúng thưởng IPHONE 14. Gọi 0903919127 trong vòng 48h để nhận!
spam,SALE SỐC: Giảm đến 58% điện tử. Truy cập www.shop.com ngay!
spam,HỖ TRỢ VAY VỐN: Chỉ cần CMND + SIM. Lãi 3%. Duyệt tự động: bit.ly/q78xi3
spam,TIN VUI! SIM của bạn trúng thưởng TV SONY 4K. Gọi 0903239683 trong vòng 23h để nhận!
ham,16h45 mình hẹn nhau ở công viên nhé.
spam,⚠️ CẢNH BÁO: Tài khoản Tài khoản ngân hàng của bạn có dấu hiệu bất thường. Xác minh: bit.ly/uz8hsp
ham,Tối nay 7h mình đi café nhé. công viên như mọi khi.
spam,HOT DEAL: Giảm 84% tại Shopee. Mã: SALE638. Hết hạn trong 11h!
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
spam,"VAY NHANH 500 TRIỆU! Lãi 3%, không giữ giấy tờ. Gọi: 0966159588"
spam,📈 KIẾM 500K/NGÀY từ Bitcoin! Khóa học MIỄN PHÍ: bit.ly/af7hxx
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Tối nay 3h mình đi café nhé. công viên như mọi khi.
spam,HỖ TRỢ VAY VỐN: Chỉ cần CMND + SIM. Lãi 1.5%. Duyệt tự động: bit.ly/lsjfa0
spam,HOT DEAL: Giảm 70% tại TikTok Shop. Mã: SALE167. Hết hạn trong 42h!
ham,Glad to see your reply.
spam,URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50
ham,I am going to sao mu today. Will be done only at 12
spam,KHẨN CẤP! VNPay của bạn sắp bị khóa. Cập nhật thông tin tại: bit.ly/ekokq7
ham,We still on for tonight?
spam,KIẾM TIỀN ONLINE! 20000k/tháng chỉ 6h/ngày. Chi tiết: bit.ly/xjf0ac
ham,Oh...i asked for fun. Haha...take care. ü
spam,HOT DEAL TRONG NGÀY! Samsung giá cực sốc 5000đ. Mua tại: bit.ly/o3x7xs
ham,No screaming means shouting..
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
spam,KHUYẾN MÃI: mỹ phẩm giảm 75%. Áp dụng mã SALE472!
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
spam,TIN VUI! SIM của bạn trúng thưởng IPHONE 14. Gọi 0904037773 trong vòng 11h để nhận!
ham,"House-Maid is the murderer, coz the man was murdered on &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
spam,ƯU ĐÃI LỚN: Mua laptop chỉ với 2000000trđ tại app.loan.online. Mã: SALE164
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,Mình tìm nhóm làm đồ án cuối kỳ môn Hóa. Bạn có muốn join không?
ham,Tối nay 1h mình đi ăn nhé. trung tâm như mọi khi.
ham,I did. One slice and one breadstick. Lol
spam,"💰 CẦN TIỀN GẤP? Vay 5000 triệu, giải ngân sau 24h. Đăng ký: bit.ly/thu4qz"
ham,Mới đi ăn xong. Buồn ngủ ghê!
ham,Nope watching tv at home... Not going out. V bored...
spam,VAY ONLINE: Lãi suất 1.5%/tháng. Không thế chấp. Duyệt trong 12h. Link: bit.ly/u05p7v
ham,Old Orchard near univ. How about you?
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
spam,TIN VUI! Bạn được chọn nhận TV SONY 8K. Click: bit.ly/a76d4d hoặc gọi 0966159588 trước 3h!
ham,Wow v v impressed. Have funs shopping!
spam,"VAY NHANH 500 TRIỆU! Lãi 2%, không giữ giấy tờ. Gọi: 0905012250"
ham,Have you finished work yet? :)
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,Deadline báo cáo môn Toán là khi nào?
spam,GIẢM GIÁ 65%: máy giặt. Click ngay: www.invest.asia
spam,SALE SỐC: Giảm đến 53% thời trang. Truy cập www.shop.vn ngay!
ham,"I'll get there at 3, unless you guys want me to come some time sooner"
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
ham,Maybe?! Say hi to and find out if got his card. Great escape or wetherspoons?
spam,💥 SIÊU GIẢM GIÁ! mỹ phẩm giảm 80%. Thanh toán MoMo giảm thêm!
spam,⚡ KHUYẾN MÃI LỚN! Giảm đến 80% thời trang. Số lượng có hạn!
ham,Sorry de i went to shop.
ham,I'm on the bus. Love you
spam,📈 KIẾM 20000K/NGÀY từ Ethereum! Khóa học MIỄN PHÍ: bit.ly/4rkg54
spam,GIẢM GIÁ 50%: máy giặt. Click ngay: vn.claim-prize.net
spam,FLASH SALE 1H: iPad giảm 75%. Số lượng có hạn!
spam,"🏠 LÀM VIỆC TẠI NHÀ, lương 50000k. Không cần kinh nghiệm. Đăng ký: bit.ly/4rkg54"
spam,KHUYẾN MÃI: mỹ phẩm giảm 40%. Áp dụng mã SALE213!
ham,"4 tacos + 1 rajas burrito, right?"
ham,"Mình cần số liệu, bạn có không? Để học nhóm."
spam,"VAY NHANH 20000 TRIỆU! Lãi 3%, không giữ giấy tờ. Gọi: 0950289302"
spam,KIẾM TIỀN ONLINE! 20000k/tháng chỉ 24h/ngày. Chi tiết: bit.ly/hynmnc
spam,🏆 GIẢI ĐẶC BIỆT! XE SH dành cho bạn. NHANH TAY: bit.ly/zcex8w
spam,HỖ TRỢ VAY VỐN: Chỉ cần CMND + SIM. Lãi 2%. Duyệt tự động: bit.ly/ekokq7
spam,ƯU ĐÃI LỚN: Mua MacBook chỉ với 8trđ tại vn.shop.vn. Mã: SALE299
ham,For my family happiness..
spam,SALE SỐC: Giảm đến 39% gia dụng. Truy cập www.shop.com ngay!
spam,TIN VUI! Bạn được chọn nhận IPAD PRO. Click: bit.ly/vzj132 hoặc gọi 0966159588 trước 12h!
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,Lmao but its so fun...
ham,Where did u go? My phone is gonna die you have to stay in here
ham,I'm thinking that chennai forgot to come for auction..
spam,TIN VUI! SIM của bạn trúng thưởng IPHONE 14. Gọi 0903554697 trong vòng 26h để nhận!
spam,KIẾM TIỀN ONLINE! 5000k/tháng chỉ 2 ngày/ngày. Chi tiết: bit.ly/afkpz9
ham,Mình cần check với báo cáo. Bạn có thể giúp không?
spam,💥 SIÊU GIẢM GIÁ! thời trang giảm 70%. Thanh toán VNPay giảm thêm!
ham,"Cool, text me when you head out"
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
spam,HOT DEAL: Giảm 67% tại Sendo. Mã: SALE699. Hết hạn trong 24h!
ham,"Princess, i like to make love &lt;#&gt; times per night. Hope thats not a problem!"
spam,🔥 FLASH SALE 12h! iPad giảm 60%. MUA NGAY: bit.ly/xjf0ac
ham,Are you available for soiree on June 3rd?
spam,SALE SỐC: Giảm đến 55% thời trang. Truy cập vn.claim-prize.net ngay!
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 45h. LH: m.loan.vn"
spam,CHÚC MỪNG! Bạn trúng XE SH từ Momo. Liên hệ: 0969388797 để nhận ngay!
ham,I ask if u meeting da ge tmr nite...
spam,TIN VUI! SIM của bạn trúng thưởng TV SONY 8K. Gọi 0926816606 trong vòng 9h để nhận!
spam,⚠️ CẢNH BÁO: Tài khoản MoMo của bạn có dấu hiệu bất thường. Xác minh: bit.ly/lsjfa0
spam,SALE SỐC! Máy giặt chỉ còn 10000đ. Áp dụng mã VN63137. Link: bit.ly/ekokq7
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,I want to see your pretty pussy...
ham,Thanks and ! Or bomb and date as my phone wanted to say!
spam,HỖ TRỢ VAY VỐN: Chỉ cần CMND + SIM. Lãi 1%. Duyệt tự động: bit.ly/am0djo
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
spam,🔐 Tài khoản ngân hàng: Phát hiện đăng nhập lạ. Bảo vệ tài khoản ngay: bit.ly/hjofuw
ham,Geeeee ... I love you so much I can barely stand it
spam,HOT DEAL TRONG NGÀY! iPad giá cực sốc 5000đ. Mua tại: bit.ly/r52kpb
spam,"🏠 LÀM VIỆC TẠI NHÀ, lương 2000k. Không cần kinh nghiệm. Đăng ký: bit.ly/z09t78"
ham,Mình vừa đi café xong. Hôm nay không khí mát mẻ!
spam,HOT DEAL: Giảm 41% tại Lazada. Mã: SALE879. Hết hạn trong 21h!
spam,VAY ONLINE: Lãi suất chỉ 5%/tháng. Đăng ký: vn.loan.asia
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
spam,HOT DEAL: Giảm 55% tại Shopee. Mã: SALE709. Hết hạn trong 7h!
ham,Hey do you want anything to buy:)
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,"Are you sure you don't mean ""get here, we made you hold all the weed"""
ham,Hey you around? I've got enough for a half + the ten I owe you
spam,ƯU ĐÃI LỚN: Mua máy giặt chỉ với 17trđ tại www.shop.online. Mã: SALE901
ham,"Alright, see you in a bit"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
spam,💰 CƠ HỘI VIỆC LÀM: Thu nhập 5000-30000k/tháng. Liên hệ: 0996176649
ham,"Hey, 2 giờ chiều mình gặp nhau trung tâm được không?"
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,What time. IÛ÷m out until prob 3 or so
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,Cuộc họp dự án A lùi sang 8h. Đừng quên bản vẽ.
spam,TRÚNG THƯỞNG! Momo trao SAMSUNG S24 trị giá 20000đ. Xác nhận: bit.ly/lvcwfy
spam,SALE SỐC! Samsung chỉ còn 5000đ. Áp dụng mã VN35105. Link: bit.ly/z09t78
spam,SALE SỐC! Điện thoại chỉ còn 50000đ. Áp dụng mã VN76108. Link: bit.ly/sg7a07
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
spam,FLASH SALE 25H: AirPods giảm 48%. Số lượng có hạn!
ham,ÌÏ come lt 25 n pass to me lar
spam,KHÁM PHÁ: Đầu tư BNB sinh lời 40%. CT: www.invest.asia
spam,"💰 CẦN TIỀN GẤP? Vay 2000 triệu, giải ngân sau 6h. Đăng ký: bit.ly/6dgkyc"
spam,TIN VUI! SIM của bạn trúng thưởng IPHONE 14. Gọi 0904481176 trong vòng 44h để nhận!
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
spam,🏦 KHOẢN VAY 50000M đã được duyệt cho bạn. Xác nhận nhận tiền: bit.ly/3xs1rf
spam,TIN VUI! SIM của bạn trúng thưởng LAPTOP GAMING. Gọi 0902410536 trong vòng 32h để nhận!
spam,HOT DEAL: Giảm 77% tại Lazada. Mã: SALE684. Hết hạn trong 7h!
spam,KHÁM PHÁ: Đầu tư Bitcoin sinh lời 123%. CT: my.invest.net
spam,VAY ONLINE: Lãi suất 2%/tháng. Không thế chấp. Duyệt trong 3h. Link: bit.ly/hynmnc
ham,Easy ah?sen got selected means its good..
spam,HOT DEAL: Giảm 30% tại Sendo. Mã: SALE860. Hết hạn trong 25h!
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
spam,HOT DEAL: Giảm 55% tại Tiki. Mã: SALE765. Hết hạn trong 2h!
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
ham,Shall i get my pouch?
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
spam,KHUYẾN MÃI: điện tử giảm 50%. Áp dụng mã SALE117!
spam,BẠN ĐÃ TRÚNG! TV SONY 4K trị giá 500000đ từ FPT. Xác nhận tại: www.claim-prize.net
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
spam,🎉 XIN CHÚC MỪNG! SĐT của bạn trúng AIRPODS PRO. Mã dự thưởng: VN74758. Gọi 0969388797!
spam,KHẨN CẤP! VNPay của bạn sắp bị khóa. Cập nhật thông tin tại: bit.ly/vzj132
ham,So the sun is anti sleep medicine.
ham,Go where n buy? Juz buy when we get there lar.
ham,Tối nay 2h mình đi dạo nhé. nhà mình như mọi khi.
spam,🔥 FLASH SALE 48h! Máy giặt giảm 80%. MUA NGAY: bit.ly/6dgkyc
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
ham,K..k..any special today?
spam,BÍ QUYẾT ĐẦU TƯ Bitcoin sinh lời 30%/tháng. Tham gia: bit.ly/vi2nut
ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
spam,THÔNG BÁO BẢO MẬT: Internet Banking yêu cầu xác thực lại. Link an toàn: bit.ly/4rkg54
ham,"alright, I'll make sure the car is back tonight"
spam,📈 KIẾM 50000K/NGÀY từ BNB! Khóa học MIỄN PHÍ: bit.ly/u05p7v
ham,I just saw ron burgundy captaining a party boat so yeah
ham,"Yeah I am, so I'll leave maybe 7ish?"
ham,2 giờ chiều mình học bài không? công viên nhé.
spam,ƯU ĐÃI LỚN: Mua AirPods chỉ với 6trđ tại www.shop.xyz. Mã: SALE857
ham,and picking them up from various points
ham,"Ask g or iouri, I've told the story like ten times already"
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,"I‘ve got some salt, you can rub it in my open wounds if you like!"
spam,KHÁM PHÁ: Đầu tư Ethereum sinh lời 187%. CT: vn.invest.vn
ham,"Chị ơi, 9h sáng mình đi dạo tại coffee shop không?"
spam,ƯU ĐÃI LỚN: Mua laptop chỉ với 8trđ tại www.shop.online. Mã: SALE775
spam,VIỆC LÀM TỰ DO! Thu nhập 10000k/tháng. Làm ở nhà. LH: 0907612041
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,With my sis lor... We juz watched italian job.
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam,"VAY NHANH: Duyệt trong 26h, lãi suất 1%. LH: 0917163411"
spam,"VAY NHANH 1000 TRIỆU! Lãi 1.5%, không giữ giấy tờ. Gọi: 0913752013"
ham,"Wat time liao, where still got."
ham,Họp dự án A chuyển sang 15h nhé. Nhớ mang số liệu.
ham,Hey i will be late ah... Meet you at 945+
spam,HOT DEAL: Giảm 55% tại Shopee. Mã: SALE479. Hết hạn trong 15h!
ham,Ok.. Ü finishing soon?
spam,KHẨN CẤP! Tài khoản ngân hàng của bạn sắp bị khóa. Cập nhật thông tin tại: bit.ly/zcex8w
spam,⚡ KHUYẾN MÃI LỚN! Giảm đến 70% thời trang. Số lượng có hạn!
spam,HOT DEAL TRONG NGÀY! Laptop giá cực sốc 5000đ. Mua tại: bit.ly/am0djo
spam,🔐 Ví điện tử: Phát hiện đăng nhập lạ. Bảo vệ tài khoản ngay: bit.ly/scxlt7
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
spam,SALE SỐC! iPad chỉ còn 5000đ. Áp dụng mã VN40734. Link: bit.ly/6dgkyc
ham,Dude im no longer a pisces. Im an aquarius now.
spam,TÀI KHOẢN CỦA BẠN: Cần cập nhật Tài khoản ngân hàng trước 3h. Chi tiết: bit.ly/6dgkyc
ham,"Yo, you around? Just got my car back"
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 3h. LH: my.loan.com"
ham,Ok. So april. Cant wait
spam,"VAY NHANH: Duyệt trong 31h, lãi suất 4%. LH: 0932378911"
spam,ƯU ĐÃI LỚN: Mua MacBook chỉ với 20trđ tại app.shop.online. Mã: SALE795
spam,TIN VUI! Bạn được chọn nhận IPHONE 15 PRO. Click: bit.ly/xjf0ac hoặc gọi 0939279396 trước 24h!
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each"
ham,Họp kế hoạch quý chuyển sang 8h nhé. Nhớ mang bản vẽ.
ham,Then wat r u doing now? Busy wif work?
spam,GIẢM GIÁ 70%: máy giặt. Click ngay: m.secure.com
ham,At 7 we will go ok na.
ham,Now? I'm going out 4 dinner soon..
spam,"VAY NHANH 500 TRIỆU! Lãi 3%, không giữ giấy tờ. Gọi: 0969388797"
ham,Going to take your babe out ?
ham,I dunno until when... Lets go learn pilates...
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
spam,🔥 FLASH SALE 24h! Máy giặt giảm 60%. MUA NGAY: bit.ly/0g1amr
spam,TIN VUI! Bạn được chọn nhận AIRPODS PRO. Click: bit.ly/xrvvnz hoặc gọi 0955376475 trước 6h!
ham,"Hôm nay se lạnh, mình đi học bài không bạn?"
spam,"💼 TUYỂN DỤNG GẤP! Lương 5000k/tháng, làm online. Đăng ký: bit.ly/af7hxx"
ham,Still i have not checked it da. . .
ham,Lol they were mad at first but then they woke up and gave in.
spam,🏦 KHOẢN VAY 10000M đã được duyệt cho bạn. Xác nhận nhận tiền: bit.ly/hynmnc
spam,TIN VUI! SIM của bạn trúng thưởng XE MÁY HONDA. Gọi 0909968748 trong vòng 22h để nhận!
ham,Hẹn gặp 10h30 ở thư viện nhé Chị ơi.
ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
ham,I've told him that i've returned it. That should i re order it.
ham,Do well :)all will for little time. Thing of good times ahead:
ham,Just finished. Missing you plenty
spam,HOT DEAL TRONG NGÀY! iPad giá cực sốc 20000đ. Mua tại: bit.ly/r52kpb
ham,All will come alive.better correct any good looking figure there itself..
spam,KHUYẾN MÃI: thời trang giảm 80%. Áp dụng mã SALE778!
ham,Why de. You looking good only:-)..
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
ham,Is xy in ur car when u picking me up?
spam,TIN VUI! Bạn được chọn nhận TV SONY 8K. Click: bit.ly/xrvvnz hoặc gọi 0939279396 trước 12h!
ham,"Cho mình hỏi, bạn có bản vẽ không? Mình cần nghiên cứu."
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
spam,💥 SIÊU GIẢM GIÁ! điện tử giảm 80%. Thanh toán ZaloPay giảm thêm!
spam,BẠN ĐÃ TRÚNG! TV SONY 8K trị giá 1000000đ từ Viettel. Xác nhận tại: www.invest.asia
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH
spam,💰 CƠ HỘI VIỆC LÀM: Thu nhập 500-8000k/tháng. Liên hệ: 0913752013
ham,Im just wondering what your doing right now?
spam,⚠️ CẢNH BÁO: Tài khoản Ví điện tử của bạn có dấu hiệu bất thường. Xác minh: bit.ly/woe35s
ham,"That's good, because I need drugs"
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,No problem. We will be spending a lot of quality time together...
spam,TIN VUI! SIM của bạn trúng thưởng IPHONE 14. Gọi 0903226671 trong vòng 23h để nhận!
spam,KHÁM PHÁ: Đầu tư BNB sinh lời 57%. CT: www.invest.com
